textbox19,textbox34,ID,textbox30,textbox10,Title,Location,Status,DateInitiated,Initiator,SAPNotificationNr
Unit: 05,[761],275710,1,OPSLUB - OPERATING LUBRICATION SECTION,CALLED S/BY LUB OIL TEAM ON SITE TO TOP UP MILL 5C MOTOR DE & NDE BRG OIL LEVEL LOW,03-05NM30 - MILL 5C,Submitted,2015-12-18 21:15,Daniel Mashego,23438942
Unit: 05,[761],275712,1,CIB - C&I UNITS 4 - 6 SECT,MILL PA FLOW INDICATION IS READING VERY LOW 68%AND ILL FEEDER SPEED READ 40% PA DAMPER OPEN 100% AND,03-05JF03C005 - MILL 5E PA DAMPER 05NM50S001,Submitted,2015-12-18 21:31,Daniel Mashego,23438932
Unit: 05,[761],275720,1,CIB - C&I UNITS 4 - 6 SECT,"S/BY C & I ON SITE ARE ATTENDING TO MILL 5E PROBLEMS - PA DAMPER OPEN 100%,FEEDER SPEED DROPPED TO 4",03-05NM50 - MILL 5E,Submitted,2015-12-18 23:20,Daniel Mashego,23438958
Unit: 05,[761],275916,1,HMDM - HMD MILLS,"MILL 5E IS MALFUNCTIONING  - MILL FEEDER SPEED IS DROPPED TO 40%,MILL DIFF IS AT MAXIMUM,PA DAMPER O",03-05NM50 - MILL 5E,Submitted,2015-12-21 02:01,Daniel Mashego,23440016
Unit: 05,[761],276119,1,HMDM - HMD MILLS,MILL 5D OUTLET DUCTING HAVE PF LEAK,03-05NM40 - MILL 5D,Submitted,2015-12-23 13:28,Daniel Mashego,23443290
Unit: 05,[761],276410,1,HMDM - HMD MILLS,CALL OUT:S/BY HYDRAULIC TEAM TO TOP MILL C HYDRAULIC TANK.,03-05NM30 - MILL 5C,Submitted,2015-12-28 02:39,ML Ramonedi,23446021
Unit: 05,[761],275733,1,HMDM - HMD MILLS,MILL 5E IS REJECTING EXCESSIVELY - GC ON SITE NOTIFIED,03-05NM50 - MILL 5E,Submitted,2015-12-19 05:19,Daniel Mashego,23439069
Unit: 05,[761],275779,2,HMDM - HMD MILLS,C MILL INNER DOOR DOES NOT CLOSE PROPERLY ,03-05CC096B001-K13 - MCB MILL REJECT HOPPER DIST BRD,Submitted,2015-12-19 18:31,Thami Malaka,23439365
Unit: 05,[761],275924,1,CIB - C&I UNITS 4 - 6 SECT,S/BY C & I ON SITE CALLED TO  DO MILL PA TX BLOW THROGH - ASKED BY BLR ENG,03-05NM40 - MILL 5D,Signed Off,2015-12-21 04:03,Daniel Mashego,23440059
Unit: 05,[761],276004,2,HMDM - HMD MILLS,5C  MILL  ROLLER  NO3  PF  IS  LEAKING.,03-05NM30 - MILL 5C,Submitted,2015-12-21 21:19,Jerry Gumede,23441169
Unit: 05,[761],274592,1,CIB - C&I UNITS 4 - 6 SECT,C&I CALLED OUT FOR PA DAMPER FAILS TO DRIVE,03-05JF02C005 - MILL 5C PA DAMPER 05NM30S001,Submitted,2015-12-07 02:46,Present Vilakazi,23425238
Unit: 05,[761],274640,2,CIB - C&I UNITS 4 - 6 SECT,C MILL ROLLER LIMIT NO2 DOES NOT COME THROUGH THE STARTUP PROGRAM -,03-05NM30T002 - MILL 5C INLET AIR TEMP,Submitted,2015-12-07 14:28,ML Ramonedi,23426076
Unit: 05,[761],274984,2,EMF - EMD UNIT 4-6,U5 B MILL  BREAKER AMP GAUGE IN THE MV ROOM READS  AMPERAGE WHEN MILL IS OFF. EMD TO CHECK,03-05BG002B001 - MILL 5B (05NM20D001) VAC CONTR,Submitted,2015-12-11 00:33,Ndivhuwo Mbedzi,23430385
Unit: 05,[761],275313,1,EMF - EMD UNIT 4-6,CALLED S/BY EMD ON SITE TO DISCONNECT THE MOTOR IN ORDER FOR GC TO CHECK THEIR PUMP COUPLING  -   MI,03-05NM40 - MILL 5D,Signed Off,2015-12-14 18:48,Daniel Mashego,23434102
Unit: 05,[761],277168,2,CIB - C&I UNITS 4 - 6 SECT,MILL 5C TEMPERING AIR DAMPER C&I CHECKING INSTRUMENTATION,03-05JF02C006 - MILL 5C TEMPERING AIR DAMPER 05NM30S002,Signed Off,2016-01-07 10:30,VJ Tau,23456438
Unit: 05,[761],277206,1,ENGC&I - C&I ENGINEERING DEPARTMENT,CALLED OUT S/BY MILLING PLANT ENG TO CHECK MILL 5A AND 5C NOT PERFORMING WELL,03-05NM10 - MILL 5A,Submitted,2016-01-07 18:46,Daniel Mashego,23457190
Unit: 05,[761],277285,1,CIB - C&I UNITS 4 - 6 SECT,S/BY C & I AND EMD ACTUATOR ARE ATTENDING TO MILL 5A CORE AIR DAMPER A1CORE AIR DAMPER D2 AND CORE A,03-05NM10 - MILL 5A,Submitted,2016-01-08 19:44,Daniel Mashego,23458586
Unit: 05,[761],277759,1,HMDM - HMD MILLS,U5 C MILL HYDRAULIC OIL TANK LEVEL LOW AND GC CONST NOTIFIED ON SITE,03-05NM30L101 - HYD SYSTEM OIL TANK LEVEL INDICATION,Submitted,2016-01-15 12:11,Ndivhuwo Mbedzi,23467827
Unit: 05,[761],277800,2,HMDM - HMD MILLS,MILL 5A ROLLER 1 & 2 HAVE PF LEAK,03-05NM10 - MILL 5A,Submitted,2016-01-16 05:54,Daniel Mashego,23468243
